Sector Layer Component LeftEdge RightEdge LeftEdgeError RightEdgeError
2 Panel-1b 55 -11.0 9.0 0.0 0.0
2 Panel-1b 56 -1499.0 -1499.0 0.0 0.0
2 Panel-1b 57 1.0 1.0 0.0 0.0
2 Panel-1b 58 1.0 1.0 0.0 0.0
2 Panel-1b 59 -1.0 19.0 0.0 0.0
2 Panel-1b 60 -13.0 9.0 0.0 0.0
2 Panel-1b 61 -11.0 9.0 0.0 0.0
2 Panel-2b 0 -13.0 9.0 0.0 0.0
2 Panel-2b 1 -11.0 9.0 0.0 0.0
2 Panel-2b 2 -1499.0 -1499.0 0.0 0.0
2 Panel-2b 3 1.0 1.0 0.0 0.0
2 Panel-2b 4 1.0 1.0 0.0 0.0
3 Panel-1a 0 -10.75 7.25 0.0 0.0
3 Panel-1a 1 -10.75 7.25 0.0 0.0
3 Panel-1a 2 -49.75 -49.75 0.0 0.0
3 Panel-1a 3 -0.25 20.75 0.0 -0.5
3 Panel-1a 4 -1.25 20.75 0.0 0.0
3 Panel-1a 5 -0.25 19.25 0.0 0.0
3 Panel-1a 6 -10.75 7.25 0.0 0.0
3 Panel-1a 7 -10.75 7.25 0.0 0.0
3 Panel-1a 8 -49.75 -49.75 0.0 0.0
3 Panel-1a 9 -0.25 20.75 0.0 -0.5
3 Panel-1a 10 -1.25 20.75 0.0 0.0
3 Panel-1a 11 -0.25 19.25 0.0 0.0
3 Panel-1a 12 -10.75 7.25 0.0 0.0
3 Panel-1a 13 -10.75 7.25 0.0 0.0
3 Panel-1a 14 -49.75 -49.75 0.0 0.0
3 Panel-1a 15 -0.25 20.75 0.0 -0.5
3 Panel-1a 16 -1.25 20.75 0.0 0.0
3 Panel-1a 17 -0.25 19.25 0.0 0.0
3 Panel-1a 18 -10.75 7.25 0.0 0.0
3 Panel-1a 19 -10.75 7.25 0.0 0.0
3 Panel-1a 20 -49.75 -49.75 0.0 0.0
3 Panel-1a 21 -0.25 20.75 0.0 -0.5
3 Panel-1a 22 -1.25 20.75 0.0 0.0
3 Panel-1b 0 -13.0 9.0 0.0 0.0
3 Panel-1b 1 -11.0 9.0 0.0 0.0
3 Panel-1b 2 -1499.0 -1499.0 0.0 0.0
3 Panel-1b 3 1.0 1.0 0.0 0.0
3 Panel-1b 4 1.0 1.0 0.0 0.0
3 Panel-1b 5 -1.0 19.0 0.0 0.0
3 Panel-1b 6 -13.0 9.0 0.0 0.0
3 Panel-1b 7 -11.0 9.0 0.0 0.0
3 Panel-1b 8 -1499.0 -1499.0 0.0 0.0
3 Panel-1b 9 1.0 1.0 0.0 0.0
3 Panel-1b 10 1.0 1.0 0.0 0.0
